Atoms,Eigenvalue Q(w) PBE,MP2 Error (kcal/mol),RIRPA Error (kcal/mol),alpha_c,valence electron,Eigenvalue Q(w) HF
34,2.07274019,-0.1537208211,0.559050207,0.4824531337,64,1.146579158
34,2.0774269,-0.0422902269,0.3894630429,0.4813647113,64,1.146745598
32,2.09417808,-0.1606168614,0.5488415314,0.4775143096,62,1.171693239
30,2.09921551,-0.2323191177,0.6458673133,0.4763684316,60,1.179516373
27,3.00488506,-1.20067479,0.5588918406,0.3327914313,60,1.387377292
29,2.99896391,-0.8604007941,0.4201306008,0.3334484942,62,1.384223773
29,3.77477077,-0.857675195,0.622727561,0.2649167488,74,1.608006247
27,3.77274198,-0.8076011652,0.5425687821,0.2650592077,72,1.60802476
29,3.76754089,-0.5365746704,0.4152188818,0.2654251219,74,1.60589819
23,3.22185395,-0.2266365591,0.4703778919,0.3103803014,44,1.398391173
21,4.02267293,-0.4314997499,0.4162343943,0.2485909288,42,1.71152256
29,3.51886819,-0.4386166339,0.6924914173,0.2841822842,62,1.548696089
24,3.07952563,-1.033201729,0.3667817317,0.3247253376,60,1.411176033
22,3.25778109,-0.9973554845,0.4310418378,0.306957396,60,1.49264183
23,3.21759034,-0.9935583998,0.4071162888,0.3107915845,68,1.482520016
16,4.01254337,-0.6858792438,0.3386748409,0.2492184901,48,1.707366862
8,4.00929883,-0.1366839041,0.2561247482,0.2494201711,8,1.703433331
20,3.51276615,-0.6608939177,0.3868559906,0.2846759384,54,1.561057128
21,3.4758564,-0.4344477123,0.4374933064,0.2876988819,60,1.541581714
15,2.99106157,-0.541218297,0.2628109274,0.3343294602,36,1.378785617
18,2.99391721,-0.7848140726,0.5025006726,0.3340105721,38,1.382041667
19,2.99413372,-0.7773598297,0.4507015776,0.3339864193,36,1.38186864
24,3.51889809,-1.112711297,0.4912783913,0.2841798695,76,1.546957224
22,3.28118633,-0.1880025441,0.4434731726,0.3047678185,66,1.499208348
7,3.99899828,-0.0609216531,0.3778524232,0.2500626232,6,1.699677741
12,3.97433207,-0.0963042325,0.7153640932,0.2516146065,26,1.698716929
25,3.50756656,-0.2472203326,0.4970739621,0.2850979398,60,1.563609948
26,3.48392598,-0.3062621135,0.5732901579,0.2870325046,58,1.548201172
20,3.50344867,-0.9241118826,0.5162420258,0.2854330388,58,1.561155038
18,3.51110525,-0.2681043521,0.4692083876,0.284810602,56,1.546063989
15,4.01631336,-0.1232403676,0.4451235102,0.2489845563,56,1.705897734
18,3.22289873,-0.6887730704,0.6532877884,0.3102796842,60,1.484264796
